Normalized_VGG_Similarity,Normalized_SS_Score
0.20086926,0.03225806451612903
0.59622246,0.4838709677419355
0.6115076,0.12903225806451613
0.6931713,0.41935483870967744
0.88710016,0.5483870967741935
0.37698686,0.6129032258064516
0.8656029,0.5483870967741935
0.6045107,0.25806451612903225
0.7854479,0.4838709677419355
0.45434466,0.45161290322580644
0.43954366,0.6451612903225806
0.5567422,0.5161290322580645
0.34934673,0.4838709677419355
0.8932047,0.9354838709677419
0.6191259,0.5483870967741935
0.24278209,0.3225806451612903
0.4053876,0.41935483870967744
0.37541372,0.12903225806451613
0.60389674,0.45161290322580644
0.3821634,0.3870967741935484
0.5761497,0.5483870967741935
0.35602587,0.5161290322580645
0.59712654,0.41935483870967744
0.77387315,0.1935483870967742
0.540753,0.06451612903225806
0.4378507,0.45161290322580644
0.52870464,0.3548387096774194
0.70598865,0.7741935483870968
0.7216368,0.3870967741935484
0.7681405,0.5806451612903226
0.4081535,0.3548387096774194
0.23242582,0.5161290322580645
0.2973335,0.5483870967741935
0.4257666,0.6129032258064516
0.32638845,0.03225806451612903
0.62733847,0.5161290322580645
0.5296297,0.22580645161290322
0.35290396,0.41935483870967744
0.14226067,0.3870967741935484
0.3376932,0.5806451612903226
0.6742369,0.3870967741935484
0.39588222,0.3225806451612903
0.5664683,0.4838709677419355
0.7269878,0.6129032258064516
0.43115023,0.5161290322580645
0.26927167,0.16129032258064516
0.43394834,0.5483870967741935
0.54489684,0.6129032258064516
0.3584145,0.3548387096774194
0.6227015,0.6451612903225806
0.62065893,0.2903225806451613
0.6206662,0.5806451612903226
0.5217679,0.0
0.50179875,0.4838709677419355
0.043879535,0.06451612903225806
0.4380047,0.4838709677419355
0.39384988,0.6451612903225806
0.50919765,0.41935483870967744
0.28142238,0.3225806451612903
0.3002848,0.41935483870967744
0.26721835,0.4838709677419355
0.40638134,0.2903225806451613
0.5167771,0.3548387096774194
0.3547278,0.0967741935483871
0.21199599,0.3548387096774194
0.616071,0.3870967741935484
0.6283144,0.0967741935483871
0.6297651,0.6129032258064516
0.941122,0.967741935483871
0.56096005,0.0
0.7304536,0.3870967741935484
0.30023897,0.1935483870967742
0.3363712,0.25806451612903225
0.37975216,0.25806451612903225
0.72357976,0.45161290322580644
0.47433373,0.5161290322580645
0.52133083,0.7741935483870968
0.28898263,0.5483870967741935
0.48270568,0.41935483870967744
0.65202963,0.5161290322580645
0.31003758,0.7741935483870968
0.39360917,0.22580645161290322
0.8888443,0.7419354838709677
0.36987573,0.6774193548387096
0.7148669,0.3870967741935484
0.36206654,0.45161290322580644
0.45052612,0.4838709677419355
0.7018305,0.45161290322580644
0.7297727,0.967741935483871
0.65457076,0.6129032258064516
0.5760828,0.5161290322580645
0.46825275,0.16129032258064516
0.6820585,0.6129032258064516
0.2979659,0.6774193548387096
0.41580728,0.3225806451612903
0.71907663,0.45161290322580644
0.5092674,0.0967741935483871
0.6259309,0.16129032258064516
0.4593945,0.0967741935483871
0.5617262,0.25806451612903225
0.31943858,0.5161290322580645
0.7766882,0.5806451612903226
0.19129542,0.3870967741935484
0.44705832,0.4838709677419355
0.36835355,0.3548387096774194
0.37378874,0.25806451612903225
0.69612145,0.3548387096774194
0.4402753,0.4838709677419355
0.5515188,0.3870967741935484
0.5757613,0.2903225806451613
0.56675404,0.3548387096774194
0.49167982,0.6451612903225806
0.5510618,0.4838709677419355
0.2566501,0.5483870967741935
0.5253906,0.03225806451612903
0.3916456,0.1935483870967742
0.6498509,0.06451612903225806
0.43839732,0.3870967741935484
0.40792522,0.3548387096774194
0.8481921,0.6774193548387096
0.4901696,0.3548387096774194
0.14835061,0.4838709677419355
0.5859936,0.6129032258064516
0.5624935,0.1935483870967742
0.58619106,0.6451612903225806
0.8054133,0.3225806451612903
0.35425127,0.4838709677419355
0.40220016,0.3870967741935484
0.58050585,0.25806451612903225
0.41927004,0.3225806451612903
0.54519016,0.7741935483870968
0.6544219,0.12903225806451613
0.30791584,0.16129032258064516
0.40697366,0.22580645161290322
0.33362758,0.1935483870967742
0.7062849,0.3870967741935484
0.84336716,0.6129032258064516
0.10577203,0.16129032258064516
0.38666606,0.1935483870967742
0.5881876,0.45161290322580644
0.20268033,0.41935483870967744
0.32302567,0.1935483870967742
0.53369623,0.3225806451612903
0.8685629,0.967741935483871
0.37849897,0.45161290322580644
0.759465,0.45161290322580644
0.38160133,0.41935483870967744
0.44141123,0.5806451612903226
0.2460988,0.25806451612903225
0.63197833,0.41935483870967744
0.38409215,0.41935483870967744
0.3686224,0.22580645161290322
0.4792965,0.5483870967741935
0.70016277,0.7419354838709677
0.73293495,0.5483870967741935
0.6716136,0.3225806451612903
0.283041,0.0967741935483871
0.53447235,0.3870967741935484
0.5486229,0.7741935483870968
0.28371245,0.12903225806451613
0.6538218,0.4838709677419355
0.5884053,0.3548387096774194
0.58472055,0.1935483870967742
0.29806647,0.4838709677419355
0.26544538,0.5161290322580645
0.5929552,0.5806451612903226
0.29415765,0.2903225806451613
0.34632525,0.2903225806451613
0.39517587,0.2903225806451613
0.65595835,0.16129032258064516
0.8120777,1.0
0.7588731,0.3225806451612903
0.41463718,0.3548387096774194
0.34940907,0.6451612903225806
0.52591324,0.22580645161290322
0.5541555,0.25806451612903225
0.75884277,0.4838709677419355
0.5233101,0.5161290322580645
0.8025875,0.3548387096774194
0.5586257,0.7741935483870968
0.2579408,0.4838709677419355
0.74670404,0.7096774193548387
0.46716094,0.16129032258064516
0.52864194,0.5806451612903226
0.6163607,0.5161290322580645
0.5101612,0.25806451612903225
0.47248504,0.3225806451612903
0.44805568,0.3548387096774194
0.46016416,0.3548387096774194
0.34154153,0.41935483870967744
0.4525071,0.7419354838709677
0.26427,0.0967741935483871
0.38958666,0.03225806451612903
0.43053576,0.22580645161290322
0.4254001,0.2903225806451613
0.6128454,0.1935483870967742
0.43408537,0.3548387096774194
0.57381946,0.5483870967741935
0.49758336,0.41935483870967744
0.48144323,0.4838709677419355
0.5295289,0.5161290322580645
0.48834318,0.3548387096774194
0.60832465,0.03225806451612903
0.34551093,0.3225806451612903
0.5613809,0.6451612903225806
0.6737459,0.5161290322580645
0.7174148,0.3870967741935484
0.70692647,0.3870967741935484
0.7472158,0.3870967741935484
0.49194658,0.7096774193548387
0.51285625,0.2903225806451613
0.58839357,0.45161290322580644
0.75863874,0.5483870967741935
0.47906727,0.03225806451612903
0.8057363,0.5161290322580645
0.45243868,0.5806451612903226
0.38562194,0.3225806451612903
0.582678,0.4838709677419355
0.51371163,0.22580645161290322
0.57127833,0.6774193548387096
0.64126354,0.7419354838709677
0.5439245,0.3548387096774194
0.38598597,0.3225806451612903
0.75774217,0.41935483870967744
0.7216368,0.3870967741935484
0.34040496,0.3548387096774194
0.8383413,0.8709677419354839
0.0,0.6774193548387096
0.45630178,0.0967741935483871
0.58714813,0.5161290322580645
0.20820016,0.2903225806451613
0.5118896,0.3548387096774194
0.44972435,0.0967741935483871
0.7060177,0.3225806451612903
0.16407521,0.5161290322580645
0.5906527,0.5483870967741935
